Files already downloaded and verified
Files already downloaded and verified
num params: 472756
[(0, 10), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch  19, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=2.027, TAw acc=  0.0% |
| Epoch  20, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=1.549, TAw acc=  0.0% |
| Epoch  21, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=1.863, TAw acc=  0.0% |
| Epoch  22, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=1.295, TAw acc=  0.0% |
| Epoch  23, time=  4.4s | Train: skip eval | Valid: time=  0.2s loss=1.694, TAw acc=  0.0% |
| Epoch  24, time=  4.5s | Train: skip eval | Valid: time=  0.2s loss=1.870, TAw acc=  0.0% |
| Epoch  25, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=2.143, TAw acc=  0.0% |
| Epoch  26, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=1.489, TAw acc=  0.0% |
| Epoch  27, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=1.957, TAw acc=  0.0% |
| Epoch  28, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=1.985, TAw acc=  0.0% |
| Epoch  29, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=1.725, TAw acc=  0.0% |
| Epoch  30, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=1.289, TAw acc=  0.0% |
| Epoch  31, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=1.430, TAw acc=  0.0% |
| Epoch  32, time=  4.5s | Train: skip eval | Valid: time=  0.2s loss=1.345, TAw acc=  0.0% |
| Epoch  33, time=  4.5s | Train: skip eval | Valid: time=  0.2s loss=1.290, TAw acc=  0.0% |
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=3.414 | TAw acc=  0.0%, forg=  0.0%| TAg acc= 12.6%, forg= 71.5% <<<
>>> Test on task  1 : loss=4.497 | TAw acc=  0.0%, forg=  0.0%| TAg acc=  0.0%, forg= 61.9% <<<
>>> Test on task  2 : loss=5.406 | TAw acc=  0.0%, forg=  0.0%| TAg acc=  0.0%, forg= 69.8% <<<
>>> Test on task  3 : loss=1.175 | TAw acc=  0.0%, forg=  0.0%| TAg acc= 70.6%, forg=  0.0% <<<
Save at ./results/20241114_der_cl/cifar100/cifar100_icarl_der_base_csl_1
************************************************************************************************************
Task  4
************************************************************************************************************
