Using downloaded and verified file: ./data/organamnist/organamnist.npz
Using downloaded and verified file: ./data/organamnist/organamnist.npz
num params: 465968
[(0, 3), (1, 3), (2, 3), (3, 2)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch  12, time= 80.0s | Train: skip eval | Valid: time=  0.9s loss=0.152, TAw acc= 97.9% |
| Epoch  13, time= 79.4s | Train: skip eval | Valid: time=  0.9s loss=0.068, TAw acc= 98.6% | *
| Epoch  14, time= 80.8s | Train: skip eval | Valid: time=  0.9s loss=0.139, TAw acc= 98.3% |
| Epoch  15, time= 79.4s | Train: skip eval | Valid: time=  0.9s loss=0.126, TAw acc= 98.4% |
| Epoch  16, time= 79.4s | Train: skip eval | Valid: time=  0.9s loss=0.326, TAw acc= 98.6% |
| Epoch  17, time= 79.2s | Train: skip eval | Valid: time=  0.9s loss=0.085, TAw acc= 99.4% |
| Epoch  18, time= 79.1s | Train: skip eval | Valid: time=  0.9s loss=0.144, TAw acc= 98.8% |
| Epoch  19, time= 76.1s | Train: skip eval | Valid: time=  0.8s loss=0.123, TAw acc= 98.6% |
| Epoch  20, time= 78.7s | Train: skip eval | Valid: time=  0.9s loss=0.133, TAw acc= 97.9% |
| Epoch  21, time= 78.1s | Train: skip eval | Valid: time=  0.9s loss=0.064, TAw acc= 99.1% | *
| Epoch  22, time= 78.3s | Train: skip eval | Valid: time=  0.9s loss=0.134, TAw acc= 97.8% |
| Epoch  23, time= 79.2s | Train: skip eval | Valid: time=  0.9s loss=0.085, TAw acc= 98.7% |
| Epoch  24, time= 78.2s | Train: skip eval | Valid: time=  0.9s loss=0.067, TAw acc= 98.9% |
| Epoch  25, time= 79.8s | Train: skip eval | Valid: time=  0.9s loss=0.094, TAw acc= 97.9% |
| Epoch  26, time= 77.6s | Train: skip eval | Valid: time=  0.9s loss=0.089, TAw acc= 98.0% |
| Epoch  27, time= 79.5s | Train: skip eval | Valid: time=  0.9s loss=0.073, TAw acc= 98.4% |
| Epoch  28, time= 78.3s | Train: skip eval | Valid: time=  0.9s loss=0.090, TAw acc= 97.9% |
| Epoch  29, time= 79.6s | Train: skip eval | Valid: time=  0.9s loss=0.089, TAw acc= 97.1% |
| Epoch  30, time= 78.9s | Train: skip eval | Valid: time=  0.8s loss=0.107, TAw acc= 97.8% |
| Epoch  31, time= 79.8s | Train: skip eval | Valid: time=  0.9s loss=0.037, TAw acc= 99.4% | *
| Epoch  32, time= 79.9s | Train: skip eval | Valid: time=  0.9s loss=0.056, TAw acc= 98.5% |
| Epoch  33, time= 80.4s | Train: skip eval | Valid: time=  0.8s loss=0.081, TAw acc= 98.0% |
| Epoch  34, time= 79.8s | Train: skip eval | Valid: time=  0.9s loss=0.097, TAw acc= 98.6% |
| Epoch  35, time= 77.5s | Train: skip eval | Valid: time=  0.9s loss=0.054, TAw acc= 98.7% |
| Epoch  36, time= 80.1s | Train: skip eval | Valid: time=  0.9s loss=0.043, TAw acc= 99.2% |
| Epoch  37, time= 78.8s | Train: skip eval | Valid: time=  0.9s loss=0.060, TAw acc= 99.2% |
| Epoch  38, time= 79.8s | Train: skip eval | Valid: time=  0.9s loss=0.076, TAw acc= 98.4% |
| Epoch  39, time= 78.8s | Train: skip eval | Valid: time=  0.9s loss=0.023, TAw acc= 99.4% | *
| Epoch  40, time= 79.7s | Train: skip eval | Valid: time=  0.9s loss=0.055, TAw acc= 99.1% |
| Epoch  41, time= 79.4s | Train: skip eval | Valid: time=  0.9s loss=0.058, TAw acc= 98.5% |
| Epoch  42, time= 79.7s | Train: skip eval | Valid: time=  0.9s loss=0.073, TAw acc= 98.6% |
| Epoch  43, time= 79.6s | Train: skip eval | Valid: time=  0.9s loss=0.065, TAw acc= 98.8% |
| Epoch  44, time= 79.7s | Train: skip eval | Valid: time=  0.9s loss=0.039, TAw acc= 98.9% |
