Using downloaded and verified file: ./data/tissuemnist/tissuemnist.npz
Using downloaded and verified file: ./data/tissuemnist/tissuemnist.npz
num params: 465968
[(0, 2), (1, 2), (2, 2), (3, 2)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   5, time=111.1s | Train: skip eval | Valid: time=  1.0s loss=0.464, TAw acc= 78.8% |
| Epoch   6, time=110.3s | Train: skip eval | Valid: time=  0.9s loss=0.427, TAw acc= 80.1% | *
| Epoch   7, time=108.9s | Train: skip eval | Valid: time=  1.0s loss=0.417, TAw acc= 80.3% | *
| Epoch   8, time=109.1s | Train: skip eval | Valid: time=  0.9s loss=0.430, TAw acc= 79.8% |
| Epoch   9, time=108.1s | Train: skip eval | Valid: time=  1.0s loss=0.399, TAw acc= 82.0% | *
| Epoch  10, time=110.7s | Train: skip eval | Valid: time=  1.0s loss=0.413, TAw acc= 81.7% |
| Epoch  11, time=109.6s | Train: skip eval | Valid: time=  0.9s loss=0.386, TAw acc= 82.9% | *
| Epoch  12, time=112.1s | Train: skip eval | Valid: time=  1.0s loss=0.465, TAw acc= 79.7% |
| Epoch  13, time=110.3s | Train: skip eval | Valid: time=  1.0s loss=0.410, TAw acc= 81.3% |
| Epoch  14, time=111.3s | Train: skip eval | Valid: time=  1.0s loss=0.517, TAw acc= 77.1% |
| Epoch  15, time=111.5s | Train: skip eval | Valid: time=  0.9s loss=0.428, TAw acc= 80.8% |
| Epoch  16, time=111.5s | Train: skip eval | Valid: time=  0.9s loss=0.385, TAw acc= 83.2% | *
| Epoch  17, time=111.9s | Train: skip eval | Valid: time=  0.9s loss=0.381, TAw acc= 83.2% | *
| Epoch  18, time=111.6s | Train: skip eval | Valid: time=  1.0s loss=0.393, TAw acc= 83.3% |
| Epoch  19, time=110.9s | Train: skip eval | Valid: time=  1.0s loss=0.412, TAw acc= 81.8% |
| Epoch  20, time=111.3s | Train: skip eval | Valid: time=  1.0s loss=0.382, TAw acc= 83.1% |
| Epoch  21, time=111.8s | Train: skip eval | Valid: time=  0.9s loss=0.449, TAw acc= 80.4% |
| Epoch  22, time=109.9s | Train: skip eval | Valid: time=  0.9s loss=0.447, TAw acc= 81.2% |
| Epoch  23, time=111.5s | Train: skip eval | Valid: time=  1.0s loss=0.525, TAw acc= 79.3% |
| Epoch  24, time=110.9s | Train: skip eval | Valid: time=  1.0s loss=0.425, TAw acc= 81.6% |
| Epoch  25, time=111.3s | Train: skip eval | Valid: time=  1.0s loss=0.395, TAw acc= 82.9% |
| Epoch  26, time=110.5s | Train: skip eval | Valid: time=  1.0s loss=0.449, TAw acc= 81.1% |
| Epoch  27, time=112.0s | Train: skip eval | Valid: time=  0.9s loss=0.398, TAw acc= 83.1% |
| Epoch  28, time=112.4s | Train: skip eval | Valid: time=  0.9s loss=0.444, TAw acc= 81.9% |
| Epoch  29, time=108.7s | Train: skip eval | Valid: time=  0.9s loss=0.379, TAw acc= 83.0% | *
| Epoch  30, time=110.0s | Train: skip eval | Valid: time=  0.9s loss=0.385, TAw acc= 83.5% |
| Epoch  31, time=110.2s | Train: skip eval | Valid: time=  0.8s loss=0.439, TAw acc= 81.9% |
| Epoch  32, time=108.7s | Train: skip eval | Valid: time=  1.0s loss=0.524, TAw acc= 79.1% |
| Epoch  33, time=109.4s | Train: skip eval | Valid: time=  1.0s loss=0.365, TAw acc= 84.6% | *
| Epoch  34, time=107.4s | Train: skip eval | Valid: time=  0.9s loss=0.393, TAw acc= 83.1% |
| Epoch  35, time=111.2s | Train: skip eval | Valid: time=  1.0s loss=0.397, TAw acc= 82.8% |
| Epoch  36, time=110.6s | Train: skip eval | Valid: time=  1.0s loss=0.457, TAw acc= 81.3% |
| Epoch  37, time=110.5s | Train: skip eval | Valid: time=  0.8s loss=0.397, TAw acc= 83.1% |
| Epoch  38, time=111.5s | Train: skip eval | Valid: time=  1.0s loss=0.398, TAw acc= 83.1% |
| Epoch  39, time=110.2s | Train: skip eval | Valid: time=  0.9s loss=0.405, TAw acc= 82.3% |
| Epoch  40, time=111.1s | Train: skip eval | Valid: time=  1.0s loss=0.362, TAw acc= 84.2% | *
| Epoch  41, time=111.1s | Train: skip eval | Valid: time=  1.0s loss=0.356, TAw acc= 83.1% | *
| Epoch  42, time=110.7s | Train: skip eval | Valid: time=  1.0s loss=0.587, TAw acc= 77.4% |
| Epoch  43, time=111.6s | Train: skip eval | Valid: time=  1.0s loss=0.403, TAw acc= 83.1% |
| Epoch  44, time=111.8s | Train: skip eval | Valid: time=  1.0s loss=0.452, TAw acc= 82.2% |
| Epoch  45, time=112.0s | Train: skip eval | Valid: time=  1.0s loss=0.363, TAw acc= 83.7% |
| Epoch  46, time=110.0s | Train: skip eval | Valid: time=  1.0s loss=0.417, TAw acc= 82.7% |
| Epoch  47, time=111.5s | Train: skip eval | Valid: time=  1.0s loss=0.355, TAw acc= 84.0% | *
| Epoch  48, time=110.7s | Train: skip eval | Valid: time=  0.9s loss=0.376, TAw acc= 83.8% |
| Epoch  49, time=110.4s | Train: skip eval | Valid: time=  1.0s loss=0.417, TAw acc= 82.0% |
| Epoch  50, time=111.7s | Train: skip eval | Valid: time=  0.9s loss=0.351, TAw acc= 85.1% | *
| Epoch  51, time=111.6s | Train: skip eval | Valid: time=  1.0s loss=0.385, TAw acc= 84.6% |
| Epoch  52, time=111.7s | Train: skip eval | Valid: time=  0.9s loss=0.437, TAw acc= 81.5% |
| Epoch  53, time=111.3s | Train: skip eval | Valid: time=  1.0s loss=0.403, TAw acc= 82.9% |
| Epoch  54, time=111.5s | Train: skip eval | Valid: time=  0.9s loss=0.426, TAw acc= 83.5% |
| Epoch  55, time=110.8s | Train: skip eval | Valid: time=  0.9s loss=0.466, TAw acc= 81.3% |
| Epoch  56, time=111.8s | Train: skip eval | Valid: time=  1.0s loss=0.377, TAw acc= 84.2% |
| Epoch  57, time=110.6s | Train: skip eval | Valid: time=  0.9s loss=0.355, TAw acc= 84.7% |
| Epoch  58, time=110.9s | Train: skip eval | Valid: time=  1.0s loss=0.356, TAw acc= 84.7% |
| Epoch  59, time=110.3s | Train: skip eval | Valid: time=  0.9s loss=0.436, TAw acc= 82.0% |
| Epoch  60, time=111.4s | Train: skip eval | Valid: time=  1.0s loss=0.389, TAw acc= 83.7% |
| Epoch  61, time=111.6s | Train: skip eval | Valid: time=  1.0s loss=0.435, TAw acc= 82.2% |
| Epoch  62, time=111.5s | Train: skip eval | Valid: time=  0.9s loss=0.369, TAw acc= 84.4% |
| Epoch  63, time=110.9s | Train: skip eval | Valid: time=  0.9s loss=0.483, TAw acc= 81.3% |
