Files already downloaded and verified
Files already downloaded and verified
num params: 482856
[(0, 10), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch  73, time= 12.7s | Train: skip eval | Valid: time=  0.2s loss=1.204, TAw acc=  0.0% |
| Epoch  74, time= 12.9s | Train: skip eval | Valid: time=  0.2s loss=1.148, TAw acc=  0.0% |
| Epoch  75, time= 12.0s | Train: skip eval | Valid: time=  0.2s loss=1.194, TAw acc=  0.0% |
| Epoch  76, time= 12.4s | Train: skip eval | Valid: time=  0.1s loss=1.158, TAw acc=  0.0% |
| Epoch  77, time= 12.8s | Train: skip eval | Valid: time=  0.2s loss=1.077, TAw acc=  0.0% |
| Epoch  78, time= 12.9s | Train: skip eval | Valid: time=  0.2s loss=1.178, TAw acc=  0.0% |
| Epoch  79, time= 12.0s | Train: skip eval | Valid: time=  0.1s loss=1.139, TAw acc=  0.0% |
| Epoch  80, time= 12.5s | Train: skip eval | Valid: time=  0.2s loss=1.228, TAw acc=  0.0% |
| Epoch  81, time= 12.7s | Train: skip eval | Valid: time=  0.1s loss=1.117, TAw acc=  0.0% |
| Epoch  82, time= 13.0s | Train: skip eval | Valid: time=  0.2s loss=1.118, TAw acc=  0.0% |
| Epoch  83, time= 13.1s | Train: skip eval | Valid: time=  0.2s loss=0.959, TAw acc=  0.0% | *
| Epoch  84, time= 12.1s | Train: skip eval | Valid: time=  0.2s loss=1.084, TAw acc=  0.0% |
| Epoch  85, time= 13.6s | Train: skip eval | Valid: time=  0.1s loss=1.088, TAw acc=  0.0% |
| Epoch  86, time= 12.3s | Train: skip eval | Valid: time=  0.2s loss=1.135, TAw acc=  0.0% |
| Epoch  87, time= 14.9s | Train: skip eval | Valid: time=  0.2s loss=1.033, TAw acc=  0.0% |
| Epoch  88, time= 14.3s | Train: skip eval | Valid: time=  0.1s loss=1.041, TAw acc=  0.0% |
| Epoch  89, time= 14.4s | Train: skip eval | Valid: time=  0.2s loss=1.013, TAw acc=  0.0% |
| Epoch  90, time= 13.0s | Train: skip eval | Valid: time=  0.1s loss=0.986, TAw acc=  0.0% |
| Epoch  91, time= 12.1s | Train: skip eval | Valid: time=  0.2s loss=1.171, TAw acc=  0.0% |
| Epoch  92, time= 12.1s | Train: skip eval | Valid: time=  0.2s loss=1.080, TAw acc=  0.0% |
| Epoch  93, time= 11.8s | Train: skip eval | Valid: time=  0.2s loss=1.035, TAw acc=  0.0% |
| Epoch  94, time= 12.4s | Train: skip eval | Valid: time=  0.2s loss=1.562, TAw acc=  0.0% |
| Epoch  95, time= 12.9s | Train: skip eval | Valid: time=  0.2s loss=0.979, TAw acc=  0.0% |
| Epoch  96, time= 13.8s | Train: skip eval | Valid: time=  0.1s loss=1.089, TAw acc=  0.0% |
| Epoch  97, time= 14.6s | Train: skip eval | Valid: time=  0.2s loss=1.193, TAw acc=  0.0% |
| Epoch  98, time= 14.9s | Train: skip eval | Valid: time=  0.2s loss=1.043, TAw acc=  0.0% |
| Epoch  99, time= 13.4s | Train: skip eval | Valid: time=  0.2s loss=1.115, TAw acc=  0.0% |
| Epoch 100, time= 13.2s | Train: skip eval | Valid: time=  0.1s loss=0.949, TAw acc=  0.0% | *
| Epoch 101, time= 11.0s | Train: skip eval | Valid: time=  0.1s loss=1.085, TAw acc=  0.0% |
| Epoch 102, time= 11.4s | Train: skip eval | Valid: time=  0.2s loss=1.037, TAw acc=  0.0% |
| Epoch 103, time= 14.1s | Train: skip eval | Valid: time=  0.1s loss=0.927, TAw acc=  0.0% | *
| Epoch 104, time= 13.7s | Train: skip eval | Valid: time=  0.1s loss=1.006, TAw acc=  0.0% |
| Epoch 105, time= 12.3s | Train: skip eval | Valid: time=  0.2s loss=1.065, TAw acc=  0.0% |
| Epoch 106, time= 14.7s | Train: skip eval | Valid: time=  0.2s loss=0.915, TAw acc=  0.0% | *
| Epoch 107, time= 14.8s | Train: skip eval | Valid: time=  0.2s loss=0.986, TAw acc=  0.0% |
| Epoch 108, time= 15.0s | Train: skip eval | Valid: time=  0.2s loss=1.072, TAw acc=  0.0% |
| Epoch 109, time= 13.5s | Train: skip eval | Valid: time=  0.2s loss=0.981, TAw acc=  0.0% |
| Epoch 110, time= 13.7s | Train: skip eval | Valid: time=  0.1s loss=1.022, TAw acc=  0.0% |
| Epoch 111, time= 13.6s | Train: skip eval | Valid: time=  0.2s loss=0.908, TAw acc=  0.0% | *
| Epoch 112, time= 14.8s | Train: skip eval | Valid: time=  0.2s loss=1.095, TAw acc=  0.0% |
| Epoch 113, time= 14.8s | Train: skip eval | Valid: time=  0.2s loss=1.085, TAw acc=  0.0% |
| Epoch 114, time= 13.1s | Train: skip eval | Valid: time=  0.2s loss=0.969, TAw acc=  0.0% |
